Skill,Category
HTML,Web
CSS,Web
JavaScript,Web
React,Web
Python,Software Developer
Java,Software Developer
C++,Software Developer
SQL,Software Developer
Machine Learning,AI
Neural Networks,AI
Natural Language Processing,AI
TensorFlow,AI
Node.js,Web
Ruby on Rails,Web
Git,Software Developer
C#,Software Developer
PHP,Web
MongoDB,Software Developer
Data Structures,Software Developer
Deep Learning,AI
Express.js,Web
Angular,Web
Spring Framework,Software Developer
RESTful API,Software Developer
Django,Web
Vue.js,Web
HTML5,Web
CSS3,Web
JavaScript ES6,Web
Python Flask,Web
Redux,Web
C,Software Developer
Swift,Software Developer
ASP.NET,Software Developer
PostgreSQL,Software Developer
SQLite,Software Developer
Kotlin,Software Developer
PyTorch,AI
Numpy,AI
Pandas,AI
Scikit-learn,AI
Linux,Software Developer
Agile Development,Software Developer
JIRA,Software Developer
GraphQL,Web
TypeScript,Web
Bootstrap,Web
jQuery,Web
Rust,Software Developer
Go,Software Developer
.NET,Software Developer
Shell Scripting,Software Developer
Object-Oriented Programming,Software Developer
Microservices Architecture,Software Developer
Amazon Web Services (AWS),Software Developer
Azure,Software Developer
Google Cloud Platform (GCP),Software Developer
Docker,Software Developer
Kubernetes,Software Developer
Jenkins,Software Developer
CI/CD,Software Developer
REST API,Software Developer
GraphQL API,Software Developer
MERN Stack,Web
LAMP Stack,Web
Serverless Architecture,Software Developer
JUnit,Software Developer
Mocha,Web
Chai,Web
Jupyter Notebooks,AI
Matplotlib,AI
Seaborn,AI
D3.js,Web
Flask,Web
Heroku,Web
OAuth,Web
OAuth2,Web
Blockchain,Software Developer
RPA (Robotic Process Automation),AI
Responsive Design,Web
Vue.js,Web
Webpack,Web
GraphQL,Web
Sass,Web
Django,Web
Flask,Web
Ruby on Rails,Web
Angular,Web
REST API,Software Developer
Java,Software Developer
C#,Software Developer
Node.js,Software Developer
React,Software Developer
Redux,Software Developer
MongoDB,Software Developer
MySQL,Software Developer
PostgreSQL,Software Developer
Git,Software Developer
Jenkins,Software Developer
Docker,Software Developer
Kubernetes,Software Developer
Spring Framework,Software Developer
Hibernate,Software Developer
C++,Software Developer
Ruby,Software Developer
Shell Scripting,Software Developer
Object-Oriented Programming,Software Developer
Design Patterns,Software Developer
JUnit,Software Developer
Maven,Software Developer
Gradle,Software Developer
CI/CD,Software Developer
Agile Development,Software Developer
Scrum,Software Developer
Kanban,Software Developer
JIRA,Software Developer
Amazon Web Services (AWS),Software Developer
Microsoft Azure,Software Developer
Google Cloud Platform (GCP),Software Developer
Heroku,Software Developer
.NET,Software Developer
RESTful API,Software Developer
GraphQL API,Software Developer
Microservices Architecture,Software Developer
Serverless Architecture,Software Developer
Rust,Software Developer
Go,Software Developer
Scala,Software Developer
Kotlin,Software Developer
Swift,Software Developer
Android Development,Software Developer
iOS Development,Software Developer
Firebase,Software Developer
Machine Learning,AI
Deep Learning,AI
Natural Language Processing,AI
Computer Vision,AI
TensorFlow,AI
PyTorch,AI
Keras,AI
Numpy,AI
Pandas,AI
Scikit-learn,AI
Matplotlib,AI
Seaborn,AI
Jupyter Notebooks,AI
Data Mining,AI
Big Data,AI
Hadoop,AI
Spark,AI
Blockchain,Web
Smart Contracts,Web
Cryptocurrency,Web
React Native,Web
SwiftUI,Software Developer
Unity,Software Developer
AR/VR Development,Software Developer
Nuxt.js,Web
Tailwind CSS,Web
Material-UI,Web
GraphQL,Web
WebAssembly,Web
OAuth,Web
OAuth2,Web
Single Page Applications (SPAs),Web
Cross-platform Development,Software Developer
Bluetooth Low Energy (BLE),Software Developer
Internet of Things (IoT),Software Developer
RESTful Web Services,Web
Pytorch,AI
Process,Software Developer

Programming,Software Developer
Communication,Web
Reports,Web
Biology,AI
Scrum,Software Developer
Spanish,Web
Aws,Web
Numpy,AI
English,Web
Ai,AI
Open source,Software Developer
Pandas,AI
International,Web
Testing,Software Developer
Forecasting,AI
Prototype,Software Developer
C,Software Developer
Mathematics,AI
Docker,Software Developer
Writing,Web
R,AI
Cloud,Web
Hardware,Software Developer
Engineering,Software Developer
Technical,Software Developer
Database,Software Developer
Statistics,AI
Agile,Software Developer
Supervising,Software Developer
French,Web
C++,Software Developer
Python,Software Developer
Sql,Software Developer
Mxnet,AI
Research,AI
Coaching,Web
Research projects,AI